#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.428234    0.428234           0
           2    0.421165      0.4247   0.0024992
           3     0.41993     0.42311  0.00211215
           4    0.428513    0.424461  0.00196929
           5    0.436877    0.426944  0.00272308
           6    0.410767    0.424248  0.00334772
           7    0.438084    0.426224  0.00340334
           8    0.434315    0.427236  0.00312459
           9    0.412901    0.425643  0.00315739
          10    0.409687    0.424047  0.00321965
          11    0.440928    0.425582  0.00327229
          12     0.41687    0.424856  0.00307908
          13    0.429485    0.425212  0.00286274
          14    0.418939    0.424764   0.0026931
          15     0.40333    0.423335  0.00286768
          16    0.431263    0.423831  0.00273092
          17    0.420106    0.423611  0.00257905
          18    0.425649    0.423725  0.00243825
          19    0.427725    0.423935    0.002319
          20    0.428895    0.424183  0.00221627
