#   N_BLOCK:  ACCEPTANCE:
           1    0.464351
           2    0.464257
           3    0.464197
           4    0.464461
           5    0.464489
           6    0.464458
           7    0.464477
           8    0.464449
           9    0.464442
          10    0.464438
          11    0.464406
          12    0.464365
          13    0.464277
          14    0.464193
          15    0.464192
          16    0.464129
          17    0.464175
          18    0.464273
          19     0.46431
          20    0.464315
