#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.000354   -0.000354           0
           2   0.0018196   0.0007328 0.000768484
           3  -0.0010724 0.000131067 0.000709833
           4    0.000282   0.0001688 0.000533377
           5  -0.0022264 -0.00031024 0.000604696
           6  -0.0004552  -0.0003344 0.000504396
           7  -0.0026348-0.000663029 0.000528664
           8   -8.52e-05  -0.0005908 0.000467489
           9   0.0020788-0.000294178 0.000500886
          10   0.0020232  -6.244e-05 0.000501548
          11  -0.0024624-0.000280618 0.000501166
          12  -0.0011692-0.000354667 0.000464841
          13  -0.0005944-0.000373108 0.000429449
          14  -0.0035908-0.000602943 0.000456149
          15     0.00018-0.000550747 0.000428715
          16    0.000812-0.000465575 0.000410294
          17  -0.0054624-0.000759506 0.000480033
          18    0.000558-0.000686311 0.000458911
          19   0.0012104-0.000586484 0.000445483
          20    0.000638 -0.00052526 0.000427395
