#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.423412    0.423412           0
           2    0.416628     0.42002  0.00239834
           3    0.427463    0.422501  0.00258078
           4    0.425021    0.423131  0.00201103
           5    0.422874     0.42308  0.00160948
           6    0.419413    0.422469  0.00145263
           7    0.420836    0.422235  0.00126369
           8    0.417393     0.42163  0.00124228
           9    0.425392    0.422048  0.00117248
          10    0.422072    0.422051  0.00105524
          11    0.422643    0.422104  0.00096068
          12    0.421499    0.422054 0.000881945
          13    0.418033    0.421745  0.00086664
          14    0.421859    0.421753 0.000804775
          15    0.422253    0.421786 0.000751813
          16    0.420178    0.421686 0.000711509
          17    0.415433    0.421318 0.000758784
          18    0.424732    0.421507 0.000739954
          19    0.421709    0.421518 0.000701086
          20    0.420221    0.421453 0.000669023
