#   N_BLOCK:  ACCEPTANCE:
           1    0.238127
           2    0.238151
           3    0.238207
           4    0.238225
           5    0.238156
           6    0.238194
           7    0.238203
           8    0.238174
           9    0.238237
          10     0.23823
          11    0.238252
          12    0.238266
          13    0.238265
          14    0.238276
          15    0.238259
          16    0.238255
          17    0.238265
          18    0.238289
          19    0.238295
          20    0.238341
