#   N_BLOCK:  ACCEPTANCE:
           1    0.317678
           2    0.317658
           3    0.317671
           4    0.317726
           5    0.317764
           6    0.317799
           7    0.317797
           8    0.317713
           9    0.317742
          10    0.317762
          11    0.317817
          12    0.317857
          13    0.317817
          14    0.317753
          15     0.31776
          16    0.317772
          17     0.31778
          18    0.317798
          19    0.317774
          20    0.317831
