#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1       -0.64       -0.64           0
           2       -0.56        -0.6   0.0282843
           3        -0.6        -0.6   0.0188562
           4       -0.68       -0.62   0.0223607
           5       -0.68      -0.632   0.0208614
           6       -0.64   -0.633333   0.0174271
           7       -0.64   -0.634286   0.0149635
           8       -0.64      -0.635   0.0131101
           9       -0.68       -0.64   0.0125708
          10       -0.72      -0.648   0.0136235
          11       -0.76   -0.658182   0.0157364
          12       -0.72   -0.663333   0.0152449
          13       -0.56   -0.655385   0.0160109
          14       -0.56   -0.648571   0.0162524
          15       -0.56   -0.642667   0.0162061
          16        -0.8     -0.6525     0.01793
          17       -0.88   -0.665882   0.0212915
          18       -0.96   -0.682222   0.0256226
          19          -1   -0.698947   0.0292273
          20          -1      -0.714   0.0314038
          21          -1   -0.727619   0.0327286
          22          -1       -0.74    0.033501
          23          -1   -0.751304    0.033898
          24          -1   -0.761667   0.0340326
          25          -1     -0.7712   0.0339803
          26          -1       -0.78   0.0337937
          27          -1   -0.788148     0.03351
          28          -1   -0.795714   0.0331564
          29          -1   -0.802759   0.0327528
          30          -1   -0.809333   0.0323142
          31          -1   -0.815484   0.0318518
          32          -1    -0.82125    0.031374
          33          -1   -0.826667   0.0308873
          34          -1   -0.831765   0.0303967
          35          -1   -0.836571   0.0299058
          36          -1   -0.841111   0.0294176
          37       -0.96   -0.844324   0.0287975
          38       -0.88   -0.845263    0.028055
          39       -0.92   -0.847179    0.027401
          40       -0.84      -0.847   0.0267166
          41       -0.96   -0.849756   0.0262067
          42          -1   -0.853333   0.0258257
          43          -1   -0.856744   0.0254494
          44          -1       -0.86   0.0250784
          45          -1   -0.863111   0.0247133
          46          -1   -0.866087   0.0243546
          47          -1   -0.868936   0.0240025
          48          -1   -0.871667   0.0236572
          49          -1   -0.874286   0.0233189
          50          -1     -0.8768   0.0229877
          51          -1   -0.879216   0.0226636
          52          -1   -0.881538   0.0223464
          53          -1   -0.883774   0.0220363
          54          -1   -0.885926   0.0217331
          55          -1      -0.888   0.0214367
          56       -0.92   -0.888571   0.0210615
          57        -0.8   -0.887018   0.0207492
          58       -0.84   -0.886207   0.0204073
          59       -0.84   -0.885424   0.0200764
          60       -0.72   -0.882667   0.0199302
          61       -0.72       -0.88   0.0197811
          62       -0.84   -0.879355   0.0194726
          63          -1    -0.88127   0.0192574
          64          -1   -0.883125   0.0190457
          65          -1   -0.884923   0.0188374
          66          -1   -0.886667   0.0186325
          67          -1   -0.888358    0.018431
          68          -1       -0.89   0.0182329
          69          -1   -0.891594   0.0180382
          70          -1   -0.893143   0.0178469
          71          -1   -0.894648   0.0176589
          72          -1   -0.896111   0.0174741
          73          -1   -0.897534   0.0172926
          74          -1   -0.898919   0.0171143
          75          -1   -0.900267   0.0169391
          76          -1   -0.901579    0.016767
          77          -1   -0.902857   0.0165978
          78          -1   -0.904103   0.0164317
          79          -1   -0.905316   0.0162685
          80          -1     -0.9065   0.0161081
          81          -1   -0.907654   0.0159506
          82          -1    -0.90878   0.0157958
          83          -1    -0.90988   0.0156436
          84          -1   -0.910952   0.0154941
          85          -1      -0.912   0.0153472
          86          -1   -0.913023   0.0152029
          87          -1   -0.914023   0.0150609
          88          -1      -0.915   0.0149215
          89          -1   -0.915955   0.0147843
          90          -1   -0.916889   0.0146495
          91          -1   -0.917802    0.014517
          92          -1   -0.918696   0.0143867
          93          -1    -0.91957   0.0142585
          94          -1   -0.920426   0.0141325
          95          -1   -0.921263   0.0140085
          96          -1   -0.922083   0.0138866
          97          -1   -0.922887   0.0137666
          98          -1   -0.923673   0.0136486
          99          -1   -0.924444   0.0135325
         100          -1     -0.9252   0.0134183
         101          -1   -0.925941   0.0133058
         102          -1   -0.926667   0.0131952
         103          -1   -0.927379   0.0130863
         104          -1   -0.928077    0.012979
         105          -1   -0.928762   0.0128735
         106          -1   -0.929434   0.0127696
         107          -1   -0.930093   0.0126673
         108          -1   -0.930741   0.0125665
         109          -1   -0.931376   0.0124673
         110          -1      -0.932   0.0123695
         111          -1   -0.932613   0.0122732
         112          -1   -0.933214   0.0121784
         113          -1   -0.933805    0.012085
         114          -1   -0.934386   0.0119929
         115          -1   -0.934957   0.0119022
         116          -1   -0.935517   0.0118128
         117          -1   -0.936068   0.0117246
         118          -1    -0.93661   0.0116378
         119          -1   -0.937143   0.0115522
         120          -1   -0.937667   0.0114678
         121          -1   -0.938182   0.0113846
         122          -1   -0.938689   0.0113025
         123          -1   -0.939187   0.0112216
         124          -1   -0.939677   0.0111418
         125          -1    -0.94016   0.0110632
         126          -1   -0.940635   0.0109855
         127          -1   -0.941102    0.010909
         128          -1   -0.941562   0.0108335
         129          -1   -0.942016   0.0107589
         130          -1   -0.942462   0.0106854
         131          -1   -0.942901   0.0106129
         132          -1   -0.943333   0.0105413
         133          -1   -0.943759   0.0104706
         134          -1   -0.944179   0.0104009
         135          -1   -0.944593   0.0103321
         136          -1      -0.945   0.0102641
         137          -1   -0.945401   0.0101971
         138          -1   -0.945797   0.0101308
         139          -1   -0.946187   0.0100655
         140          -1   -0.946571   0.0100009
         141          -1    -0.94695  0.00993715
         142          -1   -0.947324  0.00987419
         143          -1   -0.947692  0.00981201
         144          -1   -0.948056  0.00975059
         145          -1   -0.948414  0.00968993
         146          -1   -0.948767     0.00963
         147          -1   -0.949116  0.00957079
         148          -1   -0.949459   0.0095123
         149          -1   -0.949799   0.0094545
         150          -1   -0.950133  0.00939739
         151          -1   -0.950464  0.00934096
         152          -1   -0.950789  0.00928519
         153          -1   -0.951111  0.00923007
         154          -1   -0.951429  0.00917559
         155          -1   -0.951742  0.00912174
         156          -1   -0.952051  0.00906852
         157          -1   -0.952357   0.0090159
         158          -1   -0.952658  0.00896387
         159          -1   -0.952956  0.00891244
         160          -1    -0.95325  0.00886159
         161          -1    -0.95354   0.0088113
         162          -1   -0.953827  0.00876158
         163          -1    -0.95411   0.0087124
         164       -0.92   -0.953902  0.00866176
         165       -0.92   -0.953697   0.0086117
         166          -1   -0.953976  0.00856434
         167          -1   -0.954251  0.00851749
         168          -1   -0.954524  0.00847114
         169          -1   -0.954793  0.00842529
         170          -1   -0.955059  0.00837993
         171          -1   -0.955322  0.00833504
         172          -1   -0.955581  0.00829063
         173          -1   -0.955838  0.00824668
         174          -1   -0.956092  0.00820319
         175          -1   -0.956343  0.00816015
         176          -1   -0.956591  0.00811756
         177          -1   -0.956836   0.0080754
         178          -1   -0.957079  0.00803367
         179          -1   -0.957318  0.00799237
         180          -1   -0.957556  0.00795148
         181          -1    -0.95779  0.00791101
         182          -1   -0.958022  0.00787094
         183          -1   -0.958251  0.00783127
         184          -1   -0.958478    0.007792
         185          -1   -0.958703  0.00775311
         186          -1   -0.958925   0.0077146
         187          -1   -0.959144  0.00767648
         188          -1   -0.959362  0.00763872
         189          -1   -0.959577  0.00760133
         190          -1   -0.959789   0.0075643
         191          -1       -0.96  0.00752762
         192          -1   -0.960208   0.0074913
         193          -1   -0.960415  0.00745532
         194          -1   -0.960619  0.00741968
         195          -1   -0.960821  0.00738438
         196          -1    -0.96102  0.00734941
         197          -1   -0.961218  0.00731477
         198          -1   -0.961414  0.00728045
         199          -1   -0.961608  0.00724644
         200          -1     -0.9618  0.00721275
         201          -1    -0.96199  0.00717937
         202          -1   -0.962178   0.0071463
         203          -1   -0.962365  0.00711352
         204          -1   -0.962549  0.00708104
         205          -1   -0.962732  0.00704886
         206          -1   -0.962913  0.00701696
         207          -1   -0.963092  0.00698535
         208          -1   -0.963269  0.00695402
         209          -1   -0.963445  0.00692297
         210          -1   -0.963619  0.00689219
         211          -1   -0.963791  0.00686168
         212          -1   -0.963962  0.00683144
         213          -1   -0.964131  0.00680146
         214          -1   -0.964299  0.00677174
         215          -1   -0.964465  0.00674228
         216          -1    -0.96463  0.00671308
         217          -1   -0.964793  0.00668412
         218          -1   -0.964954  0.00665541
         219          -1   -0.965114  0.00662694
         220          -1   -0.965273  0.00659872
         221          -1    -0.96543  0.00657073
         222          -1   -0.965586  0.00654298
         223          -1    -0.96574  0.00651545
         224          -1   -0.965893  0.00648816
         225          -1   -0.966044   0.0064611
         226          -1   -0.966195  0.00643425
         227          -1   -0.966344  0.00640763
         228          -1   -0.966491  0.00638123
         229          -1   -0.966638  0.00635504
         230          -1   -0.966783  0.00632907
         231          -1   -0.966926   0.0063033
         232          -1   -0.967069  0.00627774
         233          -1    -0.96721  0.00625239
         234          -1    -0.96735  0.00622724
         235          -1   -0.967489  0.00620229
         236          -1   -0.967627  0.00617754
