#   N_BLOCK:  ACCEPTANCE:
           1    0.136865
           2    0.137147
           3     0.13774
           4    0.137843
           5    0.137801
           6    0.137696
           7    0.137462
           8    0.137421
           9    0.137703
          10    0.137855
          11    0.137733
          12    0.137872
          13    0.137802
          14    0.137687
          15    0.137645
          16    0.137703
          17    0.137797
          18    0.137808
          19    0.137872
          20     0.13784
