#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.074314    0.074314           0
           2    0.073616    0.073965  0.00024678
           3    0.060956   0.0696287  0.00354442
           4    0.079678    0.072141  0.00343519
           5    0.074754   0.0726636  0.00278762
           6     0.05776   0.0701797  0.00324623
           7    0.064984   0.0694374  0.00286608
           8     0.07781    0.070484  0.00269213
           9    0.066308     0.07002  0.00243266
          10    0.067856   0.0698036    0.002199
          11    0.063152   0.0691989  0.00208057
          12    0.080368   0.0701297  0.00210511
          13     0.06752   0.0699289  0.00195273
          14    0.068048   0.0697946  0.00181786
          15    0.080238   0.0704908  0.00182513
          16    0.069106   0.0704043  0.00171311
          17     0.08733   0.0713999  0.00187953
          18    0.067904   0.0712057  0.00178511
          19    0.073634   0.0713335  0.00169573
          20    0.086514   0.0720925   0.0017727
