#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.317928    0.317928           0
           2    0.312987    0.315458  0.00174694
           3    0.317375    0.316097  0.00127613
           4    0.314681    0.315743  0.00100498
           5    0.316633    0.315921 0.000819603
           6    0.319586    0.316532  0.00088176
           7    0.320336    0.317075 0.000907974
           8     0.31626    0.316973 0.000800171
           9    0.318852    0.317182 0.000738001
          10    0.314784    0.316942 0.000702077
          11    0.314279      0.3167 0.000678706
          12    0.318944    0.316887 0.000647382
          13    0.317317     0.31692 0.000598426
          14    0.310848    0.316487 0.000695337
          15    0.315756    0.316438 0.000650686
          16    0.314758    0.316333 0.000618434
          17    0.323049    0.316728   0.0006969
          18    0.318541    0.316829 0.000665421
          19    0.326255    0.317325 0.000794105
          20    0.316234     0.31727 0.000756268
