#   N_BLOCK:  ACCEPTANCE:
           1    0.387697
           2    0.387873
           3    0.388039
           4    0.388204
           5    0.387972
           6    0.387891
           7    0.387878
           8    0.387896
           9    0.387958
          10    0.388109
          11    0.388127
          12    0.388089
          13     0.38796
          14    0.387961
          15    0.388024
          16    0.387984
          17     0.38791
          18    0.387871
          19    0.387845
          20    0.387765
