#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.357999    0.357999           0
           2    0.360662    0.359331 0.000941539
           3    0.364873    0.361178   0.0016338
           4    0.353782    0.359329  0.00201629
           5    0.353899    0.358243  0.00188297
           6    0.365025    0.359373  0.00187798
           7    0.353429    0.358524  0.00179143
           8    0.359784    0.358682   0.0015744
           9    0.353124    0.358064  0.00151575
          10    0.360421      0.3583  0.00138238
          11    0.357222    0.358202  0.00126018
          12    0.350832    0.357588   0.0012962
          13    0.352477    0.357195  0.00125471
          14    0.354984    0.357037  0.00117498
          15    0.360371    0.357259  0.00111748
          16    0.358453    0.357334  0.00105013
          17    0.367113    0.357909  0.00113503
          18     0.36146    0.358106  0.00108898
          19    0.357659    0.358083  0.00103192
          20    0.349979    0.357677  0.00105689
