#   N_BLOCK:  ACCEPTANCE:
           1    0.272603
           2    0.272762
           3     0.27235
           4    0.272338
           5    0.272386
           6    0.272372
           7    0.272358
           8    0.272307
           9     0.27234
          10    0.272455
          11    0.272482
          12    0.272518
          13    0.272511
          14    0.272483
          15    0.272556
          16     0.27262
          17    0.272573
          18    0.272543
          19    0.272575
          20     0.27257
