#   N_BLOCK:  ACCEPTANCE:
           1    0.195555
           2    0.195338
           3    0.195185
           4    0.195192
           5    0.195293
           6     0.19541
           7    0.195588
           8     0.19558
           9     0.19574
          10     0.19567
          11    0.195579
          12    0.195619
          13     0.19551
          14    0.195558
          15    0.195595
          16    0.195563
          17    0.195429
          18    0.195353
          19    0.195344
          20    0.195332
