#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      14.496      14.496           0
           2     14.7722     14.6341   0.0976444
           3     13.7048     14.3243    0.261174
           4     13.9762     14.2373    0.209882
           5     14.8096     14.3518    0.196653
           6     13.6604     14.2365    0.194727
           7     12.2753     13.9564    0.308453
           8     16.0335      14.216    0.363083
           9     16.1498     14.4309    0.381053
          10     14.9788     14.4857    0.346864
          11     15.3166     14.5612    0.323452
          12      14.804     14.5814     0.29713
          13     14.2487     14.5558    0.275374
          14      15.035     14.5901    0.257822
          15     14.4638     14.5817    0.240771
          16     14.6326     14.5848    0.225744
          17     15.5701     14.6428    0.219779
          18     15.0603      14.666    0.208789
          19     15.3928     14.7042    0.201274
          20     14.6921     14.7036    0.191211
