#   N_BLOCK:  ACCEPTANCE:
           1    0.521402
           2    0.521322
           3    0.521354
           4    0.521272
           5     0.52139
           6    0.521386
           7    0.521242
           8    0.521244
           9     0.52137
          10    0.521315
          11    0.521246
          12    0.521225
          13    0.521226
          14    0.521171
          15    0.521224
          16    0.521192
          17    0.521168
          18      0.5212
          19    0.521208
          20    0.521231
