#   N_BLOCK:  ACCEPTANCE:
           1    0.205763
           2    0.205306
           3    0.205558
           4    0.205512
           5    0.205318
           6    0.205183
           7    0.205075
           8    0.205028
           9    0.205273
          10    0.205234
          11    0.205162
          12    0.205401
          13    0.205379
          14    0.205289
          15    0.205238
          16    0.205228
          17    0.205206
          18    0.205253
          19    0.205318
          20    0.205255
