#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.434553    0.434553           0
           2    0.420903    0.427728  0.00482605
           3    0.440454     0.43197  0.00472735
           4    0.436328     0.43306  0.00366891
           5    0.439546    0.434357  0.00315615
           6    0.436333    0.434686  0.00264724
           7    0.445419     0.43622  0.00267653
           8    0.415225    0.433595  0.00339275
           9    0.446991    0.435084  0.00332627
          10     0.43472    0.435047  0.00299384
          11    0.442399    0.435716  0.00279527
          12    0.439072    0.435995  0.00257629
          13     0.43617    0.436009  0.00237815
          14     0.43829    0.436172  0.00221386
          15     0.42314    0.435303  0.00223022
          16    0.446487    0.436002  0.00219765
          17     0.41979    0.435048  0.00226586
          18    0.447204    0.435724  0.00223835
          19    0.428994     0.43537  0.00214839
          20    0.443194    0.435761  0.00207629
