#   N_BLOCK:  ACCEPTANCE:
           1    0.347726
           2    0.347793
           3    0.347834
           4    0.347859
           5    0.347891
           6    0.347962
           7    0.347975
           8    0.347958
           9    0.347971
          10     0.34797
          11    0.348019
          12    0.348016
          13    0.348014
          14    0.347942
          15    0.347934
          16    0.347918
          17    0.347928
          18    0.347983
          19     0.34798
          20    0.347992
