#   N_BLOCK:  ACCEPTANCE:
           1    0.066712
           2   0.0656375
           3   0.0660301
           4   0.0655537
           5   0.0655386
           6   0.0655767
           7   0.0656444
           8   0.0654187
           9   0.0655387
          10   0.0655907
          11   0.0652833
          12   0.0651432
          13   0.0649589
          14   0.0649413
          15   0.0648352
          16   0.0646949
          17   0.0646261
          18   0.0646013
          19   0.0646271
          20   0.0645917
