#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.198407    0.198407           0
           2    0.197282    0.197845 0.000397799
           3    0.195765    0.197151  0.00062511
           4    0.196708    0.197041 0.000478551
           5    0.197145    0.197062   0.0003833
           6    0.196408    0.196953 0.000334548
           7    0.197001    0.196959 0.000286826
           8    0.195912    0.196829 0.000279251
           9    0.195894    0.196725 0.000266847
          10    0.196765    0.196729 0.000240192
          11    0.196489    0.196707 0.000219342
          12    0.196349    0.196677 0.000203083
          13    0.197141    0.196713 0.000190576
          14    0.196512    0.196698 0.000177504
          15    0.196516    0.196686 0.000166086
          16    0.195723    0.196626 0.000166264
          17    0.196311    0.196607  0.00015751
          18    0.196316    0.196591  0.00014959
          19    0.196829    0.196604 0.000142241
          20    0.196924     0.19662  0.00013603
