#   N_BLOCK:  ACCEPTANCE:
           1    0.538023
           2     0.53776
           3    0.537682
           4    0.537623
           5    0.537684
           6    0.537768
           7    0.537756
           8    0.537721
           9    0.537677
          10    0.537732
          11    0.537699
          12    0.537758
          13    0.537752
          14    0.537766
          15     0.53777
          16    0.537728
          17    0.537736
          18    0.537721
          19    0.537695
          20    0.537732
