#   N_BLOCK:  ACCEPTANCE:
           1   0.0473863
           2   0.0471297
           3   0.0471012
           4   0.0471533
           5   0.0471118
           6   0.0471468
           7   0.0471138
           8   0.0472086
           9   0.0470641
          10   0.0471043
          11   0.0471071
          12   0.0472035
          13   0.0471996
          14   0.0472414
          15   0.0472885
          16   0.0472478
          17   0.0473002
          18   0.0473042
          19   0.0472997
          20   0.0472476
