#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     35.4193     35.4193           0
           2     35.1289     35.2741    0.102658
           3     32.0261     34.1914    0.886655
           4     32.7646     33.8347    0.733244
           5     35.7103     34.2098    0.675769
           6     32.0204     33.8449    0.654288
           7     32.6084     33.6683    0.584176
           8     30.9735     33.3314    0.600466
           9     34.2232     33.4305     0.54186
          10     33.4859     33.4361    0.487703
          11     33.8237     33.4713    0.444638
          12     31.5139     33.3082    0.436479
          13     35.4218     33.4708    0.432125
          14     32.7584     33.4199    0.404243
          15     33.2958     33.4116    0.377378
          16     34.4504     33.4765    0.359334
          17     31.4641     33.3582    0.357165
          18     34.6665     33.4308    0.344639
          19     36.2706     33.5803    0.357443
          20     34.0726     33.6049    0.340417
