#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.02919     3.02919           0
           2     3.10981      3.0695   0.0285055
           3      3.0686      3.0692   0.0190052
           4     2.96621     3.04345   0.0264656
           5      2.8643     3.00762   0.0384096
           6     2.94614     2.99738   0.0333467
           7     3.01191     2.99945   0.0286475
           8     2.84965     2.98073   0.0305801
           9     2.96908     2.97943   0.0272097
          10     2.98488     2.97998   0.0244942
          11     2.89792     2.97252   0.0233759
          12     3.01016     2.97565   0.0216373
          13     2.99651     2.97726   0.0200323
          14      2.8319     2.96688   0.0211215
          15      2.9157     2.96346    0.019987
          16     2.87998     2.95825    0.019407
          17     3.06958      2.9648   0.0193389
          18     3.01473     2.96757   0.0184624
          19     2.84517     2.96113   0.0185806
          20     2.96701     2.96142   0.0176539
