#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.204062    0.204062           0
           2    0.189542    0.196802   0.0051336
           3    0.253494    0.215699   0.0158046
           4    0.186624    0.208431   0.0134213
           5    0.218074    0.210359   0.0108747
           6    0.201408    0.208867  0.00916404
           7    0.213884    0.209584  0.00788287
           8    0.210584    0.209709   0.0068985
           9    0.221106    0.210975  0.00624715
          10    0.217076    0.211585  0.00565214
          11    0.171538    0.207945  0.00620095
          12    0.200396    0.207316  0.00571602
          13     0.20469    0.207114   0.0052799
          14    0.177948     0.20503  0.00529783
          15    0.200568    0.204733  0.00495299
          16    0.205976    0.204811  0.00464404
          17    0.194808    0.204222  0.00440798
          18      0.2523    0.206893  0.00490603
          19    0.249368    0.209129  0.00513193
          20      0.2583    0.211587  0.00543242
