#   N_BLOCK:  ACCEPTANCE:
           1    0.108542
           2    0.107561
           3    0.107974
           4    0.107807
           5    0.107739
           6    0.107608
           7    0.107638
           8    0.107648
           9    0.107585
          10    0.107655
          11    0.107683
          12     0.10776
          13    0.107722
          14    0.107765
          15    0.107677
          16    0.107715
          17    0.107572
          18     0.10764
          19    0.107682
          20    0.107637
