#   N_BLOCK:  ACCEPTANCE:
           1    0.353656
           2    0.353664
           3    0.353576
           4     0.35358
           5    0.353405
           6     0.35333
           7    0.353284
           8    0.353365
           9    0.353436
          10    0.353369
          11    0.353382
          12    0.353446
          13    0.353469
          14    0.353475
          15    0.353496
          16    0.353591
          17    0.353559
          18    0.353509
          19    0.353504
          20    0.353533
