sigma,mu,exp_H,error,acceptance
0.670673,0.88713,-0.394434,0.005839,0.24228
0.670673,0.88713,-0.394434,0.005839,0.81797
0.946613,0.498013,-0.248258,0.00934007,0.7743
0.946613,0.498013,-0.248258,0.00934007,0.69739
1.23086,0.455348,0.147091,0.0431275,0.81274
1.26813,0.400927,0.203965,0.0426159,0.81427
1.00032,0.738818,-0.00270642,0.0263103,0.81583
0.862573,0.953483,0.100204,0.0319473,0.8546
0.862573,0.953483,0.100204,0.0319473,0.70878
0.862573,0.953483,0.100204,0.0319473,0.87269
0.862573,0.953483,0.100204,0.0319473,0.89413
1.24164,0.801484,1.02847,0.0856067,0.83897
1.24164,0.801484,1.02847,0.0856067,0.84516
0.978836,0.655172,-0.151755,0.0185978,0.80222
0.978836,0.655172,-0.151755,0.0185978,0.79212
0.681222,0.799001,-0.426977,0.00369145,0.81578
0.681222,0.799001,-0.426977,0.00369145,0.80418
0.681222,0.799001,-0.426977,0.00369145,0.87512
0.681222,0.799001,-0.426977,0.00369145,0.87834
0.681222,0.799001,-0.426977,0.00369145,0.29459
0.958742,0.47952,-0.225826,0.0111585,0.77651
0.745295,0.473265,-0.239105,0.00583004,0.73575
0.63703,0.676349,-0.398482,0.0031665,0.80106
1.04036,0.532577,-0.15105,0.0190631,0.79454
0.927767,0.156331,-0.235244,0.00689095,0.73945
0.909281,0.305651,-0.247735,0.00644945,0.74617
0.749737,0.344098,-0.161522,0.00613013,0.70999
0.875881,0.406886,-0.258672,0.00657111,0.75119
0.875881,0.406886,-0.258672,0.00657111,0.83016
0.817075,0.147422,-0.13483,0.005736,0.71101
0.616623,0.646417,-0.368302,0.00377101,0.7896
0.598246,1.03322,-0.214525,0.0079656,0.67326
0.454181,0.705693,-0.126688,0.00760133,0.654
0.454181,0.705693,-0.126688,0.00760133,0.44782
0.649511,0.598585,-0.332407,0.00414479,0.76671
0.649511,0.598585,-0.332407,0.00414479,0.52107
0.804088,1.02296,0.118997,0.0247161,0.8289
0.464985,0.896046,-0.0858121,0.00749214,0.57129
0.491139,0.654093,-0.254262,0.00585376,0.73442
0.412178,0.866058,0.213078,0.0111408,0.51447
0.328063,0.895794,1.07712,0.0204144,0.40498
0.470495,1.06751,0.0277481,0.00753282,0.54553
0.470495,1.06751,0.0277481,0.00753282,0.49294
0.470495,1.06751,0.0277481,0.00753282,0.70807
0.315855,1.21233,1.31591,0.0194866,0.38633
0.315855,1.21233,1.31591,0.0194866,0.2126
0.340985,0.900977,0.905389,0.0173208,0.42227
0.327021,0.766166,1.1301,0.0210582,0.42656
0.327021,0.766166,1.1301,0.0210582,0.28099
0.327021,0.766166,1.1301,0.0210582,0.10621
0.760355,0.281003,-0.126013,0.00639954,0.7043
0.818207,0.680022,-0.318656,0.00935753,0.7982
0.818207,0.680022,-0.318656,0.00935753,0.71841
1.03867,0.361767,-0.218024,0.0134377,0.77512
0.712094,0.293795,-0.0678314,0.00662571,0.68899
0.472568,0.24353,0.55877,0.0105776,0.57882
0.611548,0.210684,0.200903,0.00835303,0.63964
0.611548,0.210684,0.200903,0.00835303,0.55836
0.611548,0.210684,0.200903,0.00835303,0.2419
0.611548,0.210684,0.200903,0.00835303,0.26779
0.611548,0.210684,0.200903,0.00835303,0.58734
0.611548,0.210684,0.200903,0.00835303,0.66308
0.46454,0.512549,-0.0532887,0.00735719,0.73902
0.46454,0.512549,-0.0532887,0.00735719,0.60552
0.46454,0.512549,-0.0532887,0.00735719,0.57095
0.467715,0.627304,-0.159696,0.00616888,0.72433
0.467715,0.627304,-0.159696,0.00616888,0.33572
0.467715,0.627304,-0.159696,0.00616888,0.63118
0.467715,0.627304,-0.159696,0.00616888,0.33116
0.447474,0.705311,-0.0974781,0.00823019,0.64654
0.628653,0.236781,0.137762,0.00781183,0.65056
0.858187,0.290181,-0.216119,0.00560938,0.73062
0.412888,0.424642,0.223226,0.00991901,0.68408
0.412888,0.424642,0.223226,0.00991901,0.52862
0.557406,0.917383,-0.358959,0.00377667,0.6745
0.557406,0.917383,-0.358959,0.00377667,0.14471
0.557406,0.917383,-0.358959,0.00377667,0.22514
0.557406,0.917383,-0.358959,0.00377667,0.84917
0.495744,1.2336,0.358365,0.0092571,0.55388
0.495744,1.2336,0.358365,0.0092571,0.69532
0.495744,1.2336,0.358365,0.0092571,0.47126
0.495744,1.2336,0.358365,0.0092571,0.47462
0.385242,1.08611,0.483127,0.0113233,0.46039
0.385242,1.08611,0.483127,0.0113233,0.24628
0.575964,1.12823,0.0143216,0.0111647,0.63019
0.575964,1.12823,0.0143216,0.0111647,0.23109
0.575964,1.12823,0.0143216,0.0111647,0.30333
0.900708,0.775246,-0.173131,0.0168161,0.82261
0.714819,0.730771,-0.393058,0.00551132,0.81322
0.964608,0.597565,-0.199248,0.0141122,0.79287
0.74554,0.539537,-0.279959,0.00548942,0.75337
0.974334,0.619202,-0.157733,0.0191798,0.79304
0.974334,0.619202,-0.157733,0.0191798,0.83468
0.599481,0.326187,0.0964748,0.00787537,0.65986
1.08564,0.230177,-0.183455,0.0169488,0.77782
1.08564,0.230177,-0.183455,0.0169488,0.80273
0.979457,0.0654081,-0.260412,0.00647716,0.74958
0.673213,0.232126,0.0445477,0.00727313,0.66742
1.05684,0.387828,-0.195838,0.0147882,0.78194
0.921611,0.363187,-0.264089,0.00724211,0.75177
