#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.271895    0.271895           0
           2    0.271999    0.271947 3.68251e-05
           3    0.271708    0.271868 6.94978e-05
           4     0.27971    0.273828  0.00169867
           5     0.27159    0.273381  0.00141672
           6    0.271898    0.273133  0.00120195
           7    0.274041    0.273263  0.00103721
           8    0.268894    0.272717  0.00104147
           9    0.273638    0.272819 0.000930767
          10    0.267499    0.272287 0.000978018
          11    0.272817    0.272335 0.000890294
          12    0.273855    0.272462 0.000825057
          13    0.273702    0.272557 0.000767087
          14    0.272566    0.272558 0.000712296
          15    0.269101    0.272328 0.000701108
          16    0.275306    0.272514 0.000681561
          17    0.268129    0.272256 0.000688556
          18    0.274485     0.27238 0.000661347
          19    0.266869     0.27209 0.000687196
          20    0.274025    0.272186 0.000659612
