#   N_BLOCK:  ACCEPTANCE:
           1    0.417117
           2     0.41702
           3     0.41709
           4    0.417217
           5    0.416988
           6    0.416969
           7    0.416945
           8    0.417061
           9    0.417062
          10    0.417139
          11    0.417173
          12    0.417278
          13    0.417257
          14    0.417246
          15     0.41735
          16    0.417304
          17     0.41723
          18    0.417244
          19    0.417232
          20    0.417167
