#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.005558    0.005558           0
           2   0.0014032   0.0034806  0.00146894
           3   0.0026892   0.0032168   0.0010027
           4  -0.0143992  -0.0011872  0.00388741
           5   0.0042428  -0.0001012  0.00325809
           6  -0.0069956 -0.00125027  0.00291066
           7   -0.007656 -0.00216537  0.00263478
           8   -0.000378 -0.00194195  0.00231489
           9    0.005716 -0.00109107  0.00220853
          10  -0.0002256 -0.00100452  0.00198937
          11    -0.00384 -0.00126229  0.00182514
          12  -0.0135248 -0.00228417  0.00193812
          13    -0.00805 -0.00272769  0.00183908
          14   0.0051508 -0.00216494  0.00179175
          15   0.0006792 -0.00197533   0.0016823
          16   0.0087736 -0.00130353  0.00170603
          17   -0.010832 -0.00186402  0.00169525
          18   0.0081988 -0.00130498  0.00169074
          19   0.0099208-0.000714147  0.00170186
          20   0.0002956 -0.00066366  0.00161751
