#   N_BLOCK:  ACCEPTANCE:
           1    0.217057
           2     0.21699
           3     0.21757
           4    0.217623
           5    0.217538
           6    0.217646
           7    0.217562
           8    0.217451
           9    0.217617
          10    0.217428
          11    0.217381
          12    0.217461
          13    0.217508
          14    0.217412
          15    0.217509
          16    0.217532
          17    0.217375
          18    0.217385
          19     0.21739
          20    0.217312
