sigma,mu,exp_H,error,acceptance
0.622178,0.78553,-0.444859,0.00165635,0.57461
0.622331,0.785996,-0.444185,0.00181683,0.575985
0.622951,0.785472,-0.446549,0.00168354,0.57581
0.622744,0.786195,-0.445621,0.00165739,0.57525
0.622744,0.786195,-0.443105,0.0023762,0.575745
0.622744,0.786195,-0.446715,0.00178467,0.57574
0.622744,0.786195,-0.444877,0.00160022,0.57592
0.622527,0.785434,-0.443958,0.00166969,0.576915
0.621898,0.785172,-0.442763,0.00154363,0.57496
0.620931,0.786059,-0.444105,0.00152645,0.574445
0.620931,0.786059,-0.447469,0.00169219,0.573855
0.620931,0.786059,-0.443955,0.00181916,0.57645
0.620361,0.785435,-0.446958,0.00163425,0.575145
0.620568,0.784557,-0.446046,0.00170321,0.573975
0.620568,0.784557,-0.441889,0.00180398,0.573735
0.619926,0.785248,-0.444446,0.00139436,0.575395
0.619025,0.785063,-0.442063,0.0018508,0.575735
0.619025,0.785063,-0.44397,0.00141197,0.575935
0.619025,0.785063,-0.443004,0.00163962,0.574205
0.61879,0.785016,-0.443413,0.00176078,0.574665
0.618532,0.784978,-0.443258,0.00183175,0.574015
0.617769,0.784928,-0.444018,0.00155645,0.573185
0.617769,0.784928,-0.444123,0.00159234,0.576255
0.617769,0.784928,-0.447181,0.00164976,0.573275
0.617769,0.784928,-0.443354,0.00180201,0.573605
0.61688,0.784058,-0.444371,0.00164669,0.57263
0.61688,0.784058,-0.443985,0.00162478,0.571735
0.61688,0.784058,-0.444195,0.0016001,0.573975
0.61688,0.784058,-0.445232,0.00161298,0.57277
0.616914,0.783524,-0.444302,0.00193348,0.572935
0.616914,0.783524,-0.4442,0.0015262,0.575715
0.616914,0.783524,-0.445459,0.00151623,0.572245
0.617634,0.782566,-0.444522,0.0015266,0.573225
0.617634,0.782566,-0.444311,0.00170783,0.57373
0.617634,0.782566,-0.443442,0.00142735,0.57617
0.616835,0.783214,-0.443136,0.00162693,0.57514
0.615934,0.784183,-0.443111,0.00164259,0.57328
0.615934,0.784183,-0.443891,0.00154719,0.573395
0.615934,0.784183,-0.444417,0.00165571,0.57322
0.616111,0.783629,-0.445721,0.00165693,0.574125
0.616111,0.783629,-0.442772,0.00168126,0.574485
0.616111,0.783629,-0.442519,0.00171112,0.573515
0.616872,0.782778,-0.443565,0.0015903,0.57352
0.616872,0.782778,-0.443395,0.00184062,0.57407
0.616872,0.782778,-0.445488,0.00162317,0.57251
0.616872,0.782778,-0.444817,0.00163365,0.5744
0.616872,0.782778,-0.444544,0.00177566,0.57186
0.616872,0.782778,-0.444459,0.0016812,0.57365
0.616872,0.782778,-0.445507,0.00163511,0.57589
0.616872,0.782778,-0.442794,0.00160593,0.573085
