sigma,mu,exp_H,error,acceptance
0.506532,0.646081,-0.269999,0.00552051,0.44397
0.481182,0.72551,-0.234771,0.0076283,0.49057
0.576129,0.628982,-0.326892,0.00328227,0.50142
0.551508,0.654115,-0.345684,0.00372063,0.51358
0.551508,0.654115,-0.345684,0.00372063,0.45691
0.551508,0.654115,-0.345684,0.00372063,0.48144
0.529208,0.647624,-0.319156,0.00448592,0.5051
0.529208,0.647624,-0.319156,0.00448592,0.45281
0.621906,0.664593,-0.382585,0.0026126,0.52399
0.675087,0.678307,-0.389585,0.00305127,0.53401
0.608293,0.753834,-0.438412,0.0021804,0.56568
0.633789,0.808065,-0.441549,0.00301325,0.58401
0.611304,0.832922,-0.43913,0.00281868,0.5768
0.573244,0.79548,-0.42812,0.002859,0.55355
0.571514,0.719373,-0.402578,0.00281175,0.54147
0.61705,0.760331,-0.441715,0.00216304,0.57176
0.606661,0.824975,-0.441217,0.00261696,0.57346
0.631785,0.88431,-0.4169,0.00404603,0.58851
0.604679,0.895065,-0.406259,0.00327565,0.56908
0.604679,0.895065,-0.406259,0.00327565,0.47596
0.604679,0.895065,-0.406259,0.00327565,0.48933
0.614519,0.973101,-0.325303,0.00492237,0.55706
0.614519,0.973101,-0.325303,0.00492237,0.58303
0.702339,0.89204,-0.332338,0.0081839,0.62034
0.722459,0.862389,-0.348122,0.00693804,0.6186
0.765986,0.775264,-0.347828,0.00663423,0.58542
0.74192,0.73345,-0.372957,0.00506279,0.56232
0.713954,0.744263,-0.391625,0.00454408,0.56772
0.784608,0.752478,-0.341698,0.00697807,0.57056
0.784608,0.752478,-0.341698,0.00697807,0.6153
0.702458,0.819941,-0.404046,0.00510041,0.6005
0.702458,0.819941,-0.404046,0.00510041,0.61628
0.702458,0.819941,-0.404046,0.00510041,0.60316
0.702458,0.819941,-0.404046,0.00510041,0.57098
0.733868,0.75302,-0.381045,0.00518335,0.57405
0.681782,0.700262,-0.399214,0.00328717,0.54681
0.737281,0.718485,-0.373581,0.00565355,0.55412
0.737281,0.718485,-0.373581,0.00565355,0.55485
0.74683,0.758508,-0.371423,0.00585325,0.57496
0.67965,0.676263,-0.384585,0.00367907,0.52881
0.695608,0.768115,-0.407264,0.0043248,0.58043
0.695608,0.768115,-0.407264,0.0043248,0.60224
0.622027,0.817714,-0.443254,0.00260836,0.58243
0.664484,0.749812,-0.426776,0.00304031,0.57116
0.634773,0.83028,-0.439203,0.00293069,0.59001
0.634773,0.83028,-0.439203,0.00293069,0.5508
0.634773,0.83028,-0.439203,0.00293069,0.59798
0.634773,0.83028,-0.439203,0.00293069,0.62059
0.606162,0.928718,-0.381053,0.00393662,0.56067
0.606162,0.928718,-0.381053,0.00393662,0.61361
