sigma,mu,exp_H,error,acceptance
0.614652,0.78717,-0.445168,0.00159972,0.57416
0.614652,0.78717,-0.444164,0.00158479,0.574245
0.615375,0.788057,-0.444544,0.00183321,0.5762
0.614437,0.787156,-0.445592,0.0016176,0.571185
0.614029,0.787074,-0.445774,0.00157631,0.57403
0.614029,0.787074,-0.445281,0.00177051,0.573745
0.613514,0.786597,-0.4447,0.0014196,0.574425
0.612768,0.786191,-0.443371,0.00183992,0.572985
0.612694,0.786221,-0.444071,0.00162423,0.570915
0.612694,0.786221,-0.442916,0.00159754,0.57302
0.612694,0.786221,-0.444075,0.001419,0.572295
0.612694,0.786221,-0.444722,0.00201246,0.572985
0.612694,0.786221,-0.444952,0.00134763,0.571175
0.612694,0.786221,-0.443373,0.0017089,0.57256
0.612694,0.786221,-0.445257,0.00162423,0.573365
0.61286,0.786046,-0.443335,0.00175882,0.571245
0.612969,0.786848,-0.444152,0.00178601,0.571995
0.612969,0.786848,-0.445326,0.00165896,0.57223
0.613651,0.787646,-0.446424,0.00160167,0.572305
0.613651,0.787646,-0.442161,0.00146399,0.574415
0.613651,0.787646,-0.444455,0.00178471,0.57274
0.613651,0.787646,-0.445661,0.00154964,0.57316
0.612945,0.787891,-0.445684,0.00163776,0.572585
0.612945,0.787891,-0.444682,0.00155513,0.5732
0.612945,0.787891,-0.445077,0.00182896,0.57031
0.612945,0.787891,-0.445859,0.00140433,0.573295
0.613824,0.788123,-0.442643,0.0017642,0.57235
0.613824,0.788123,-0.447895,0.00164327,0.57386
0.612983,0.788059,-0.442841,0.00151003,0.571845
0.61339,0.787868,-0.444181,0.00157196,0.57217
0.61339,0.787868,-0.44497,0.00168534,0.57334
0.612705,0.787752,-0.443361,0.00166999,0.57373
0.612946,0.786766,-0.443718,0.00147236,0.573645
0.612946,0.786766,-0.444884,0.00162468,0.571665
0.612403,0.786718,-0.442941,0.00153332,0.572055
0.612945,0.787054,-0.446036,0.00157555,0.573315
0.613436,0.787014,-0.445157,0.00183397,0.572915
0.613735,0.786586,-0.443903,0.00163585,0.5741
0.612994,0.786352,-0.442699,0.00157616,0.5737
0.612994,0.786352,-0.443423,0.00170377,0.573265
0.612994,0.786352,-0.443366,0.00158888,0.57071
0.612779,0.785627,-0.443114,0.00191079,0.57448
0.612894,0.784672,-0.442706,0.00197803,0.57268
0.61304,0.785283,-0.443011,0.00201673,0.57408
0.613076,0.78616,-0.444678,0.0015503,0.572075
0.612763,0.785882,-0.444126,0.00204197,0.57166
0.61327,0.786187,-0.446695,0.00146207,0.57358
0.613061,0.786163,-0.444346,0.00147675,0.570785
0.613949,0.785897,-0.444605,0.00157728,0.572335
0.614126,0.786045,-0.445615,0.0016884,0.57102
