#   N_BLOCK:  ACCEPTANCE:
           1    0.474202
           2    0.474056
           3    0.473901
           4     0.47426
           5    0.474298
           6    0.474367
           7    0.474271
           8    0.474375
           9    0.474346
          10    0.474429
          11    0.474329
          12    0.474344
          13    0.474302
          14    0.474205
          15    0.474166
          16    0.474076
          17    0.474053
          18    0.474144
          19    0.474182
          20    0.474177
