#   N_BLOCK:  ACCEPTANCE:
           1    0.196864
           2     0.19673
           3    0.197224
           4    0.197194
           5    0.196804
           6    0.196747
           7    0.196579
           8    0.196436
           9    0.196698
          10    0.196677
          11    0.196506
          12    0.196614
          13    0.196679
          14    0.196663
          15    0.196555
          16    0.196495
          17    0.196518
          18    0.196579
          19    0.196508
          20    0.196408
