#   N_BLOCK:  ACCEPTANCE:
           1    0.393776
           2    0.393931
           3     0.39406
           4      0.3942
           5    0.394039
           6    0.393913
           7    0.393897
           8    0.393871
           9    0.393875
          10    0.393961
          11    0.393994
          12    0.394045
          13    0.393982
          14    0.393988
          15    0.394058
          16    0.394014
          17    0.393921
          18    0.393875
          19    0.393876
          20    0.393787
