#   N_BLOCK:  ACCEPTANCE:
           1    0.222738
           2    0.222474
           3    0.222714
           4    0.222829
           5    0.222723
           6    0.222654
           7    0.222635
           8    0.222626
           9    0.222871
          10    0.222751
          11    0.222658
          12    0.222788
          13    0.222783
          14    0.222596
          15     0.22254
          16    0.222506
          17    0.222444
          18    0.222482
          19     0.22254
          20    0.222423
