#   N_BLOCK:  ACCEPTANCE:
           1    0.423046
           2    0.423017
           3    0.423095
           4    0.423304
           5    0.423082
           6    0.422981
           7    0.422967
           8    0.422997
           9    0.422927
          10    0.423031
          11    0.422998
          12    0.423112
          13    0.423044
          14     0.42304
          15    0.423119
          16    0.423061
          17    0.423012
          18    0.423015
          19    0.423033
          20    0.422936
