#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0024484   0.0024484           0
           2    0.001762   0.0021052 0.000242679
           3  -0.0006516  0.00118627  0.00076755
           4   0.0008316   0.0010976 0.000580762
           5  -0.0010412  0.00066984 0.000601868
           6  -0.0042612   -0.000152 0.000902446
           7  -0.0037288-0.000662971 0.000906716
           8  -0.0009364 -0.00069715 0.000794021
           9   0.0032472-0.000258889 0.000817851
          10   0.0052136  0.00028836 0.000900736
          11   0.0003104 0.000290364 0.000818853
          12  -0.0030376 1.30333e-05 0.000796195
          13  -0.0013568-9.23385e-05 0.000741889
          14     -0.0065-0.000550029 0.000817983
          15  -0.0019456-0.000643067 0.000768724
          16   0.0029036  -0.0004214 0.000751959
          17  -0.0070944-0.000813929 0.000803674
          18  -0.0020532-0.000882778 0.000761969
          19     0.00507-0.000569474 0.000783634
          20     0.00169  -0.0004565 0.000752552
