#   N_BLOCK:  ACCEPTANCE:
           1    0.140482
           2    0.140978
           3    0.141384
           4    0.140642
           5    0.140882
           6    0.141061
           7    0.141133
           8    0.140951
           9    0.141209
          10    0.141219
          11    0.141209
          12    0.141197
          13    0.140983
          14    0.140981
          15    0.141041
          16    0.140993
          17    0.140874
          18    0.140825
          19     0.14085
          20    0.140843
