#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.710892   -0.710892           0
           2      -0.713   -0.711946 0.000745291
           3   -0.711108   -0.711667 0.000546707
           4   -0.710844   -0.711461 0.000447044
           5   -0.714296   -0.712028  0.00062056
           6   -0.713916   -0.712343 0.000591557
           7   -0.711716   -0.712253 0.000513778
           8   -0.715352   -0.712641   0.0005774
           9   -0.712084   -0.712579 0.000516544
          10   -0.715128   -0.712834 0.000524037
          11   -0.714356   -0.712972 0.000494335
          12    -0.71266   -0.712946 0.000453824
          13   -0.711588   -0.712842 0.000430769
          14   -0.713616   -0.712897 0.000403536
          15    -0.71304   -0.712906 0.000376747
          16    -0.71324   -0.712927 0.000353776
          17   -0.711804   -0.712861  0.00033908
          18   -0.710096   -0.712708 0.000353332
          19   -0.709856   -0.712557 0.000365222
          20   -0.714488   -0.712654  0.00035949
