#   N_BLOCK:  ACCEPTANCE:
           1    0.287521
           2    0.287539
           3    0.287708
           4    0.287892
           5    0.287675
           6    0.287569
           7    0.287635
           8    0.287421
           9    0.287455
          10      0.2873
          11    0.287219
          12    0.287231
          13    0.287299
          14    0.287223
          15    0.287215
          16    0.287208
          17    0.287232
          18    0.287326
          19    0.287446
          20    0.287343
