#   N_BLOCK:  ACCEPTANCE:
           1    0.185729
           2    0.185795
           3    0.186428
           4    0.186733
           5    0.186797
           6    0.186701
           7    0.186575
           8    0.186429
           9    0.186533
          10    0.186598
          11    0.186539
          12    0.186516
          13    0.186525
          14    0.186486
          15    0.186543
          16    0.186556
          17    0.186573
          18    0.186613
          19    0.186705
          20     0.18671
