#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     1.62696     1.62696           0
           2     1.63922     1.63309  0.00433456
           3      1.7344     1.66686   0.0277241
           4     1.54508     1.63641   0.0335786
           5     1.86422     1.68198   0.0488084
           6      1.6441     1.67566   0.0410799
           7      1.7132     1.68103   0.0355596
           8      1.6967     1.68298   0.0311686
           9     1.79094     1.69498   0.0299246
          10     1.63226     1.68871   0.0275816
          11     1.70824     1.69048   0.0251313
          12      1.7872     1.69854    0.024295
          13     1.64924     1.69475   0.0227203
          14     1.79096     1.70162   0.0221123
          15     1.63018     1.69686   0.0211448
          16     1.66652     1.69496   0.0199081
          17     1.64866     1.69224   0.0189225
          18     1.73688     1.69472    0.018033
          19     1.58948     1.68918   0.0179144
          20     1.79716     1.69458   0.0178137
