#   N_BLOCK:  ACCEPTANCE:
           1    0.490693
           2    0.490726
           3    0.490724
           4    0.490697
           5    0.490713
           6    0.490722
           7    0.490715
           8    0.490662
           9     0.49068
          10    0.490697
          11    0.490764
          12    0.490792
          13    0.490818
          14    0.490784
          15    0.490774
          16    0.490766
          17     0.49077
          18    0.490794
          19    0.490794
          20    0.490781
