#   N_BLOCK:  ACCEPTANCE:
           1    0.416929
           2    0.416985
           3    0.417137
           4    0.417349
           5    0.417165
           6    0.417197
           7     0.41721
           8    0.417136
           9    0.417116
          10    0.417152
          11    0.417069
          12     0.41715
          13    0.417151
          14     0.41712
          15     0.41714
          16    0.417182
          17    0.417201
          18    0.417177
          19    0.417159
          20    0.417199
