#   N_BLOCK:  ACCEPTANCE:
           1    0.443274
           2     0.44306
           3     0.44326
           4    0.443242
           5    0.443341
           6    0.443279
           7    0.443097
           8    0.443137
           9    0.443188
          10    0.443197
          11    0.443205
          12    0.443201
          13    0.443133
          14    0.443061
          15    0.443123
          16    0.443056
          17    0.443056
          18    0.443065
          19    0.443071
          20     0.44303
