#   N_BLOCK:  ACCEPTANCE:
           1    0.283666
           2    0.283543
           3    0.283748
           4    0.283868
           5    0.283792
           6    0.283547
           7    0.283509
           8    0.283299
           9    0.283346
          10     0.28331
          11    0.283246
          12    0.283245
          13    0.283309
          14    0.283242
          15    0.283264
          16    0.283267
          17     0.28328
          18    0.283307
          19     0.28344
          20    0.283332
