#   N_BLOCK:  ACCEPTANCE:
           1    0.398858
           2    0.398811
           3    0.398819
           4    0.399022
           5    0.398945
           6    0.399018
           7    0.399029
           8     0.39905
           9    0.399124
          10      0.3992
          11    0.399216
          12    0.399326
          13    0.399248
          14    0.399248
          15    0.399253
          16    0.399155
          17    0.399152
          18    0.399157
          19    0.399131
          20    0.399075
