#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.010596   -0.010596           0
           2    0.006336    -0.00213  0.00598637
           3   -0.001972 -0.00207733  0.00399114
           4   -0.008054  -0.0035715  0.00326107
           5    0.002474  -0.0023624  0.00282412
           6     0.00776-0.000675333  0.00281256
           7    0.014116  0.00143771  0.00310466
           8   -0.004392    0.000709  0.00280079
           9    -0.00576-9.77778e-06  0.00258018
          10    -0.00295  -0.0003038  0.00233885
          11     0.00584 0.000254727   0.0021919
          12    -0.00611-0.000275667  0.00207242
          13     0.00073-0.000198308  0.00191445
          14   -0.005162-0.000552857  0.00181024
          15    0.000878-0.000457467  0.00169207
          16    0.005676 -7.4125e-05  0.00162916
          17   -0.006936-0.000477765  0.00158254
          18    0.010122 0.000111111  0.00160043
          19     0.00122 0.000169474  0.00151727
          20    0.005718   0.0004469  0.00146655
