#   N_BLOCK:  ACCEPTANCE:
           1    0.381485
           2    0.381554
           3    0.381523
           4     0.38157
           5    0.381381
           6    0.381434
           7    0.381496
           8    0.381425
           9    0.381423
          10    0.381435
          11    0.381433
          12    0.381466
          13    0.381473
          14     0.38144
          15    0.381481
          16    0.381534
          17    0.381508
          18    0.381444
          19    0.381468
          20    0.381509
