#   N_BLOCK:  ACCEPTANCE:
           1   0.0749302
           2   0.0746207
           3    0.074509
           4   0.0738526
           5   0.0731843
           6   0.0731433
           7     0.07348
           8   0.0735005
           9   0.0740156
          10   0.0740409
          11   0.0736322
          12   0.0737801
          13   0.0737548
          14   0.0735021
          15   0.0734491
          16   0.0734443
          17   0.0734153
          18   0.0735498
          19    0.073458
          20   0.0733115
