#   N_BLOCK:  ACCEPTANCE:
           1    0.466685
           2    0.466728
           3    0.466702
           4    0.466694
           5      0.4667
           6    0.466672
           7    0.466688
           8    0.466662
           9    0.466697
          10    0.466685
          11    0.466687
          12    0.466722
          13    0.466732
          14    0.466704
          15    0.466708
          16    0.466711
          17    0.466723
          18    0.466732
          19    0.466725
          20    0.466717
