#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.251099    0.251099           0
           2    0.251341     0.25122 8.55527e-05
           3     0.25297    0.251803 0.000479725
           4    0.250728    0.251534 0.000428525
           5    0.250751    0.251378  0.00037034
           6    0.249903    0.251132 0.000381522
           7     0.25124    0.251147 0.000327329
           8    0.249324    0.250919 0.000357087
           9      0.2512    0.250951 0.000318765
          10    0.251695    0.251025 0.000295443
          11    0.251995    0.251113 0.000281432
          12    0.249594    0.250987 0.000285019
          13    0.250241    0.250929 0.000268799
          14    0.249746    0.250845 0.000262548
          15    0.250576    0.250827 0.000245656
          16    0.252314     0.25092 0.000247255
          17    0.250731    0.250909 0.000232961
          18    0.252784    0.251013 0.000242207
          19    0.249638     0.25094 0.000240019
          20    0.249962    0.250892 0.000232949
