#   N_BLOCK:  ACCEPTANCE:
           1    0.495273
           2    0.495276
           3    0.495253
           4    0.495253
           5    0.495228
           6    0.495173
           7    0.495196
           8    0.495189
           9     0.49517
          10    0.495203
          11    0.495238
          12    0.495251
          13    0.495281
          14    0.495239
          15    0.495228
          16    0.495251
          17     0.49525
          18    0.495262
          19    0.495262
          20    0.495262
