#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.314681    0.314681           0
           2    0.318207    0.316444  0.00124677
           3     0.31694    0.316609 0.000842057
           4    0.316424    0.316563 0.000632822
           5      0.3181     0.31687 0.000576056
           6    0.317861    0.317035 0.000503137
           7    0.317987    0.317171 0.000449251
           8    0.317772    0.317246 0.000399329
           9    0.319733    0.317523 0.000440259
          10    0.316424    0.317413 0.000409708
          11    0.319038    0.317561 0.000398206
          12    0.317924    0.317591 0.000366175
          13    0.316471    0.317505 0.000347985
          14     0.31978    0.317667  0.00035908
          15    0.317911    0.317684 0.000335507
          16    0.318592     0.31774  0.00031931
          17    0.319252    0.317829 0.000312658
          18    0.315581    0.317704 0.000319258
          19    0.319773    0.317813 0.000320478
          20    0.316546     0.31775 0.000310656
