#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1  -0.0002956  -0.0002956           0
           2   0.0022028   0.0009536 0.000883318
           3   0.0025744  0.00149387 0.000735778
           4   0.0006936   0.0012938 0.000578395
           5  -0.0036536  0.00030432  0.00099868
           6  -0.0060868-0.000760867   0.0012799
           7  -0.0030352 -0.00108577  0.00113754
           8  -0.0004004  -0.0010001 0.000998572
           9   0.0025668-0.000603778 0.000963062
          10   0.0020716 -0.00033624 0.000903152
          11  -0.0038792-0.000658327 0.000876601
          12  -0.0063836 -0.00113543 0.000924313
          13  -0.0008788 -0.00111569 0.000853423
          14  -0.0049792 -0.00139166 0.000835892
          15  -0.0033552 -0.00152256  0.00079035
          16   0.0026484 -0.00126187 0.000782765
          17  -0.0063976 -0.00156398 0.000792876
          18  -0.0023736 -0.00160896 0.000750102
          19   0.0030332 -0.00136463 0.000749358
          20  -0.0006016 -0.00132648 0.000712861
