#   N_BLOCK:  ACCEPTANCE:
           1    0.485941
           2    0.485803
           3    0.485796
           4    0.485986
           5    0.486048
           6    0.486082
           7    0.486052
           8    0.486102
           9    0.486216
          10    0.486292
          11     0.48616
          12    0.486192
          13    0.486108
          14    0.486016
          15    0.485997
          16    0.485983
          17    0.485963
          18    0.485979
          19    0.486022
          20    0.486055
