#   N_BLOCK:  ACCEPTANCE:
           1    0.134516
           2    0.134695
           3    0.135152
           4    0.135158
           5    0.135349
           6    0.135669
           7    0.135567
           8     0.13563
           9    0.135893
          10    0.136139
          11    0.135814
          12    0.135983
          13     0.13591
          14    0.135709
          15     0.13568
          16      0.1357
          17    0.135593
          18    0.135695
          19    0.135728
          20    0.135796
