#   N_BLOCK:  ACCEPTANCE:
           1     0.30055
           2    0.300701
           3    0.300811
           4    0.301022
           5    0.300653
           6    0.300558
           7    0.300556
           8    0.300496
           9     0.30056
          10    0.300386
          11    0.300377
          12    0.300323
          13    0.300347
          14    0.300359
          15    0.300312
          16    0.300272
          17     0.30021
          18    0.300197
          19    0.300191
          20    0.300089
