#   N_BLOCK:  ACCEPTANCE:
           1    0.479005
           2    0.478851
           3    0.478762
           4    0.478957
           5    0.479101
           6      0.4792
           7    0.479147
           8    0.479215
           9    0.479192
          10    0.479227
          11    0.479139
          12    0.479139
          13     0.47902
          14    0.478921
          15    0.478884
          16    0.478837
          17    0.478814
          18     0.47892
          19    0.478954
          20    0.478918
